"Date","SQQQ.Open","SQQQ.High","SQQQ.Low","SQQQ.Close","SQQQ.Volume","SQQQ.Adjusted"
2020-09-24,719.25,722.25,662.75,689.25,5135260,613.940490722656
2020-09-25,685.5,697.5,634.5,640.75,3720904,570.739685058594
2020-09-28,605.5,624.75,601,601.5,2943804,535.7783203125
2020-09-29,604.5,613,597.75,609.25,2045852,542.681396484375
2020-09-30,608,609.75,575.25,596.25,3310344,531.101867675781
2020-10-01,571.25,583.5,564.25,568.25,2793132,506.161285400391
2020-10-02,605.5,621.5,583.25,615.25,4412392,548.02587890625
2020-10-05,602.5,603,574.25,576.5,1858512,513.509826660156
2020-10-06,581.75,613,570,607.5,3447496,541.122619628906
2020-10-07,589.5,593.25,570.25,575.5,2044976,512.619079589844
2020-10-08,560.75,573,560,566,1529052,504.157073974609
2020-10-09,556,558.5,539.75,540.5,1719444,481.443298339844
2020-10-12,512.75,519,473.75,490.5,3447968,436.906433105469
2020-10-13,481.25,497.25,477.5,490,2320340,436.461059570312
2020-10-14,486,511.5,481,502.25,2811132,447.372619628906
2020-10-15,527.25,531,509.25,513,2737548,456.948028564453
2020-10-16,503.5,522.75,495.75,521,1962556,464.073913574219
2020-10-19,510.5,552,505,546.25,2906096,486.565093994141
2020-10-20,541.25,551.25,524,542.25,2970268,483.002105712891
2020-10-21,541,546.75,526,544,2530428,484.560882568359
2020-10-22,539,563.5,533.75,543.75,2922948,484.338256835938
2020-10-23,540,557.75,539.75,540,1949416,480.997924804688
2020-10-26,554,586.25,537.75,564.5,3383580,502.820953369141
2020-10-27,559,566.75,546.75,551.5,2371136,491.241394042969
2020-10-28,578.75,617.75,575,616.25,4010512,548.916564941406
2020-10-29,606.5,610.25,562.75,584,3073528,520.1904296875
2020-10-30,596.5,642.75,591,625.75,5080176,557.378662109375
2020-11-02,611.25,644.5,598.75,623.75,3423784,555.597229003906
2020-11-03,610.5,617.5,576.25,592,3482740,527.316223144531
2020-11-04,533.75,544.75,500.25,512,4802364,456.057312011719
2020-11-05,477.25,485,466.75,472.5,3531232,420.873138427734
2020-11-06,476.25,494,467.5,470.75,3612036,419.314392089844
2020-11-09,457.25,501.75,449.5,499.5,4625092,444.923095703125
2020-11-10,517,541.25,509.5,526,5174648,468.527648925781
2020-11-11,512.75,514.75,488.5,491,2663888,437.351837158203
2020-11-12,486.25,504,479.25,497.5,2822340,443.141632080078
2020-11-13,489.25,500.75,481.75,484.75,2095284,431.784698486328
2020-11-16,486,489.5,471.75,473.75,1707984,421.986633300781
2020-11-17,472.25,481.25,470.75,477.5,1586728,425.326904296875
2020-11-18,480.75,488.75,472.5,488.75,1759948,435.347686767578
2020-11-19,491.5,495,475.25,476.75,1661040,424.658843994141
2020-11-20,477.5,487,473.75,486.75,1397852,433.566192626953
2020-11-23,481.5,498.5,475,486.5,1557856,433.343536376953
2020-11-24,481,490.75,463.75,466.25,1814328,415.306091308594
2020-11-25,461.5,465.75,454.5,457.25,1386344,407.289459228516
2020-11-27,448.5,450,439.5,445,936520,396.3779296875
2020-11-30,443.5,464,440.5,442.5,2151508,394.151092529297
2020-12-01,432.25,437,417.5,424.75,2068584,378.340484619141
2020-12-02,430,438,421.75,423,1582564,376.781707763672
2020-12-03,422.25,424.5,414.75,421.25,1385552,375.222930908203
2020-12-04,421.5,424.25,415.75,416,1230300,370.546539306641
2020-12-07,415.5,416.25,407.75,409,1246728,364.311401367188
2020-12-08,411,418.5,403.75,405,1360300,360.748443603516
2020-12-09,405.75,437,404.75,432.25,3227428,385.021057128906
2020-12-10,442,446.75,422.5,427.5,2534852,380.790008544922
2020-12-11,434.5,444.75,429.75,430,2167736,383.016906738281
2020-12-14,425,425.25,412.25,420.5,1690608,374.554840087891
2020-12-15,411.25,420.75,407.5,407.5,1529508,362.975280761719
2020-12-16,405.75,410,397.5,400.75,1590776,356.962799072266
2020-12-17,394.25,399,391.75,392.5,1219996,349.614227294922
2020-12-18,390.25,405.5,389.25,396.25,1897184,352.954528808594
2020-12-21,407.75,418.75,396.25,398.75,2764284,355.181335449219
2020-12-22,395,406.5,391.5,395.25,1845916,352.063751220703
2020-12-23,395.25,401.75,393.75,401,1303796,357.185516357422
2020-12-24,400,400.5,394,395.75,789324,352.509155273438
2020-12-28,385.5,392.75,382,383.75,1550740,341.820281982422
2020-12-29,379,386.5,376.5,382.75,1956568,340.929565429688
2020-12-30,378.5,385.25,377.25,382.75,1127832,340.929565429688
2020-12-31,383,387.25,378.5,379.5,1434716,338.03466796875
2021-01-04,375,411.25,374.5,396,3580612,352.731842041016
2021-01-05,400,400,385.75,386.25,2023864,344.047119140625
2021-01-06,404,408.25,386,402.25,4114176,358.298919677734
2021-01-07,391.5,391.5,369.75,372.25,2404524,331.576843261719
2021-01-08,364.75,372.75,357.25,358.5,3487648,319.329162597656
2021-01-11,368.75,376.25,364.5,374,2697564,333.135589599609
2021-01-12,373.75,385.5,369.75,375.5,2232304,334.471710205078
2021-01-13,375,377,365.25,368.5,1678620,328.236572265625
2021-01-14,366.5,375.75,363,374,1418112,333.135589599609
2021-01-15,375.25,387.5,371.25,383,2463412,341.152221679688
2021-01-19,374,378.25,364.25,366,1790676,326.009704589844
2021-01-20,353.25,354.75,337.5,340.75,2622912,303.518615722656
2021-01-21,336.75,340.75,330,332,1860568,295.724639892578
2021-01-22,335.75,337.5,332,335,1483404,298.396850585938
2021-01-25,324.5,347.75,320.25,325.75,4058860,290.157562255859
2021-01-26,324.75,329.75,322,325.25,1806648,289.712188720703
2021-01-27,332.25,358.75,332.25,351.75,4316244,313.316680908203
2021-01-28,348.75,350.75,329.5,346.25,3285708,308.417663574219
2021-01-29,351.75,374.25,348.25,367.75,4447888,327.568511962891
2021-02-01,355.75,363,337.25,340.25,3361576,303.0732421875
2021-02-02,331,331.5,320.25,324.25,2320136,288.821411132812
2021-02-03,317.75,328,316.75,327.5,2128384,291.716339111328
2021-02-04,323.25,327.75,316,316,1883748,281.472869873047
2021-02-05,313.5,318.5,310,312.75,1874012,278.577941894531
2021-02-08,308,313,306.25,306.5,1765060,273.010833740234
2021-02-09,309.5,309.5,303.5,306.75,1879292,273.233520507812
2021-02-10,302.75,318,301.5,308.75,3784172,275.015014648438
2021-02-11,304.5,311,302.75,303.75,2784668,270.561309814453
2021-02-12,306,309.25,298.25,299,1928932,266.330322265625
2021-02-16,296.5,304.5,294,301,2239800,268.111785888672
2021-02-17,309.5,315.75,304.75,305.5,3199448,272.120086669922
2021-02-18,315.75,320.75,307.5,309.5,3501808,275.683074951172
2021-02-19,305.5,316.5,305.25,313.5,2632192,279.246032714844
2021-02-22,326.25,338.5,322.5,338,4123808,301.069030761719
2021-02-23,355.25,374,335.5,340.75,7748084,303.518615722656
2021-02-24,350,358.5,331.25,332.25,4630820,295.947326660156
2021-02-25,341,372.25,332.75,367.5,7597404,327.345825195312
2021-02-26,356.5,374,345,362,8660288,322.44677734375
2021-03-01,344.5,349.5,328.5,329.75,3828192,293.720458984375
2021-03-02,328,346.5,327.5,345.5,3073636,307.749603271484
2021-03-03,349.5,376,346.25,375.5,6573924,334.471710205078
2021-03-04,377.25,409,365.25,394,12953588,350.950347900391
2021-03-05,383.5,419.5,372.5,376,12133520,334.917083740234
2021-03-08,378.25,409.5,371,408,7388160,363.420654296875
2021-03-09,377.5,379.5,351.75,359.75,6346224,320.442565917969
2021-03-10,344.5,365.25,343.25,362.5,5315836,322.892120361328
2021-03-11,345.5,348.75,331.25,337.25,4479296,300.401031494141
2021-03-12,350.75,358.75,345.25,345.5,3929336,307.749603271484
2021-03-15,344.75,350.25,334,334.5,2495980,297.951538085938
2021-03-16,327.25,333.75,317.75,329,3716376,293.052429199219
2021-03-17,338.75,344.25,319,325,4785128,289.489501953125
2021-03-18,340.25,356.25,337,354.75,4053128,315.988952636719
2021-03-19,355.5,363,345.5,350.25,4780888,311.980560302734
2021-03-22,342.75,342.75,324.25,331.25,3313688,295.056610107422
2021-03-23,328,338.25,323.5,335.75,4058200,299.064910888672
2021-03-24,331,353.25,331,352.5,3766032,313.984771728516
2021-03-25,359.25,368,349,354.25,5574800,315.543548583984
